artist_names,track_name,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,popularity_score1,popularity_score2
Bagossy Brothers Company,Olyan Ő,spotify:track:0VTjzV78c7fn1uo1ApOSkg,0.775,0.51,5,-6.043,1,0.0303,0.185,0.0,0.123,0.525,119.947,audio_features,0VTjzV78c7fn1uo1ApOSkg,https://api.spotify.com/v1/tracks/0VTjzV78c7fn1uo1ApOSkg,https://api.spotify.com/v1/audio-analysis/0VTjzV78c7fn1uo1ApOSkg,226500,4,0.0323323355954941,0.0790216765520443
Eminem,Without Me,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,audio_features,7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/tracks/7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/audio-analysis/7lQ8MOhq6IN2w8EYcFNSUk,290320,4,0.0171475760941607,0.0414109392496998
"Dzsúdló, Lil Frakk",Lej,spotify:track:4FATnhRDq5PbfkZMafDuxb,0.79,0.503,1,-9.301,1,0.206,0.527,0.0,0.11,0.241,75.008,audio_features,4FATnhRDq5PbfkZMafDuxb,https://api.spotify.com/v1/tracks/4FATnhRDq5PbfkZMafDuxb,https://api.spotify.com/v1/audio-analysis/4FATnhRDq5PbfkZMafDuxb,168800,4,0.0335732876128359,0.0794799212185567
Halott Pénz,Amikor Feladnád,spotify:track:5pZDYdwuEWlCT2Rs7mNyvW,0.737,0.81,1,-3.683,1,0.0772,0.0391,0.0,0.0908,0.407,121.028,audio_features,5pZDYdwuEWlCT2Rs7mNyvW,https://api.spotify.com/v1/tracks/5pZDYdwuEWlCT2Rs7mNyvW,https://api.spotify.com/v1/audio-analysis/5pZDYdwuEWlCT2Rs7mNyvW,198347,4,0.0222893162063832,0.0525142053213925
The Weeknd,Blinding Lights,spotify:track:0sf12qNH5qcw8qpgymFOqD,0.512,0.796,1,-4.075,1,0.0645,0.00147,0.000209,0.0938,0.344,171.014,audio_features,0sf12qNH5qcw8qpgymFOqD,https://api.spotify.com/v1/tracks/0sf12qNH5qcw8qpgymFOqD,https://api.spotify.com/v1/audio-analysis/0sf12qNH5qcw8qpgymFOqD,201573,4,0.0391520553774098,0.0920927802068715
Imagine Dragons,Believer,spotify:track:0pqnGHJpmpxLKifKRmU6WP,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,audio_features,0pqnGHJpmpxLKifKRmU6WP,https://api.spotify.com/v1/tracks/0pqnGHJpmpxLKifKRmU6WP,https://api.spotify.com/v1/audio-analysis/0pqnGHJpmpxLKifKRmU6WP,204347,4,0.0173773954459609,0.0406708229027487
"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),spotify:track:22skzmqfdWrjJylampe0kt,0.633,0.927,2,-4.468,1,0.0839,0.0267,0.0,0.0986,0.88,146.097,audio_features,22skzmqfdWrjJylampe0kt,https://api.spotify.com/v1/tracks/22skzmqfdWrjJylampe0kt,https://api.spotify.com/v1/audio-analysis/22skzmqfdWrjJylampe0kt,258432,4,0.0161098065806026,0.0372076952699561
Follow The Flow,Maradok távol,spotify:track:14b5S9m1tvXKEiSWAdw62r,0.653,0.823,11,-4.912,0,0.0482,0.103,1.91e-06,0.212,0.519,108.943,audio_features,14b5S9m1tvXKEiSWAdw62r,https://api.spotify.com/v1/tracks/14b5S9m1tvXKEiSWAdw62r,https://api.spotify.com/v1/audio-analysis/14b5S9m1tvXKEiSWAdw62r,180048,4,0.0196530948970111,0.0453494386075856
The Neighbourhood,Sweater Weather,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,audio_features,2QjOHCTQ1Jl3zawyYOpxh6,https://api.spotify.com/v1/tracks/2QjOHCTQ1Jl3zawyYOpxh6,https://api.spotify.com/v1/audio-analysis/2QjOHCTQ1Jl3zawyYOpxh6,240400,4,0.0206211265922363,0.0474049403055965
Punnany Massif,Élvezd,spotify:track:15Zz41Ec3C6Rh6nDZa8331,0.517,0.757,0,-6.796,1,0.348,0.597,0.0,0.527,0.829,88.619,audio_features,15Zz41Ec3C6Rh6nDZa8331,https://api.spotify.com/v1/tracks/15Zz41Ec3C6Rh6nDZa8331,https://api.spotify.com/v1/audio-analysis/15Zz41Ec3C6Rh6nDZa8331,237013,4,0.0175905566103543,0.0401645395220013
