Bin,Frequency
1,951
2,299
3,202
4,167
5,137
6,98
7,89
8,96
9,71
10,50
11,47
12,46
13,44
14,34
15,32
16,34
17,43
18,40
19,36
20,29
21,31
22,18
23,28
24,22
25,24
26,16
27,24
28,19
29,19
30,24
31,14
32,13
33,13
34,11
35,9
36,12
37,15
38,11
39,11
40,14
41,12
42,9
43,7
44,11
45,9
46,11
47,16
48,11
49,7
50,7
51,11
52,2
53,11
54,14
55,11
56,4
57,12
58,6
59,4
60,2
61,6
62,9
63,6
64,6
65,4
66,8
67,5
68,6
69,7
70,5
71,10
72,4
73,2
74,2
75,6
76,4
77,3
78,7
79,5
80,7
81,9
82,5
83,2
84,2
85,5
86,4
87,1
88,4
89,5
90,3
91,4
92,2
93,3
94,2
95,0
96,2
97,4
98,4
99,7
100,1
101,4
102,0
103,2
104,4
105,0
106,3
107,2
108,5
109,3
110,1
111,2
112,3
113,3
114,2
115,2
116,1
117,0
118,1
119,2
120,0
121,1
122,1
123,6
124,1
125,2
126,1
127,1
128,1
129,2
130,1
131,0
132,1
133,1
134,0
135,0
136,0
137,1
138,0
139,0
140,3
141,0
142,1
143,0
144,0
145,1
146,1
147,0
148,0
149,1
150,0
151,1
152,0
153,0
154,1
155,0
156,0
157,1
158,0
159,0
160,1
161,2
162,2
163,2
164,0
165,0
166,0
167,1
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,1
178,1
179,0
180,1
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,1
193,0
194,0
195,0
196,0
197,0
198,0
199,1
200,0
201,0
202,0
203,1
204,1
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,1
220,0
221,0
222,0
223,0
224,0
225,1
226,0
227,1
228,0
229,0
230,0
231,0
232,0
233,1
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,1
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,1
