artist_names,track_name,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,popularity_score1,popularity_score2,streams,release_week,weeks_after_release,occurence_percentage,log_occurence,normalized_streams,popularity_score_log,popularity_log_normalized
Bagossy Brothers Company,Olyan Ő,spotify:track:0VTjzV78c7fn1uo1ApOSkg,0.775,0.51,5,-6.043,1,0.0303,0.185,0.0,0.123,0.525,119.947,audio_features,0VTjzV78c7fn1uo1ApOSkg,https://api.spotify.com/v1/tracks/0VTjzV78c7fn1uo1ApOSkg,https://api.spotify.com/v1/audio-analysis/0VTjzV78c7fn1uo1ApOSkg,226500,4,0.0323323355954941,0.0790216765520443,278,2019-01-24,286,97.2027972027972,4.576799488858875,0.0070643985331233,-2.2305896663086213,76.22025660704284
Eminem,Without Me,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,audio_features,7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/tracks/7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/audio-analysis/7lQ8MOhq6IN2w8EYcFNSUk,290320,4,0.0171475760941607,0.0414109392496998,260,2019-01-03,289,89.96539792387543,4.499425128891187,0.0038110593249023,-2.876766788860834,57.16372686528594
"Dzsúdló, Lil Frakk",Lej,spotify:track:4FATnhRDq5PbfkZMafDuxb,0.79,0.503,1,-9.301,1,0.206,0.527,0.0,0.11,0.241,75.008,audio_features,4FATnhRDq5PbfkZMafDuxb,https://api.spotify.com/v1/tracks/4FATnhRDq5PbfkZMafDuxb,https://api.spotify.com/v1/audio-analysis/4FATnhRDq5PbfkZMafDuxb,168800,4,0.0335732876128359,0.0794799212185567,233,2019-11-21,243,95.88477366255144,4.563147196213244,0.007357485123578,-2.224807441401012,76.39078127756999
Halott Pénz,Amikor Feladnád,spotify:track:5pZDYdwuEWlCT2Rs7mNyvW,0.737,0.81,1,-3.683,1,0.0772,0.0391,0.0,0.0908,0.407,121.028,audio_features,5pZDYdwuEWlCT2Rs7mNyvW,https://api.spotify.com/v1/tracks/5pZDYdwuEWlCT2Rs7mNyvW,https://api.spotify.com/v1/audio-analysis/5pZDYdwuEWlCT2Rs7mNyvW,198347,4,0.0222893162063832,0.0525142053213925,227,2019-04-04,276,82.2463768115942,4.409719337752344,0.0050545883987583,-2.639228157324816,64.16902284172558
The Weeknd,Blinding Lights,spotify:track:0sf12qNH5qcw8qpgymFOqD,0.512,0.796,1,-4.075,1,0.0645,0.00147,0.000209,0.0938,0.344,171.014,audio_features,0sf12qNH5qcw8qpgymFOqD,https://api.spotify.com/v1/tracks/0sf12qNH5qcw8qpgymFOqD,https://api.spotify.com/v1/audio-analysis/0sf12qNH5qcw8qpgymFOqD,201573,4,0.0391520553774098,0.0920927802068715,225,2019-12-05,241,93.3609958506224,4.536473654701856,0.0086305042986043,-2.077515318489554,80.73460067789534
Imagine Dragons,Believer,spotify:track:0pqnGHJpmpxLKifKRmU6WP,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,audio_features,0pqnGHJpmpxLKifKRmU6WP,https://api.spotify.com/v1/tracks/0pqnGHJpmpxLKifKRmU6WP,https://api.spotify.com/v1/audio-analysis/0pqnGHJpmpxLKifKRmU6WP,204347,4,0.0173773954459609,0.0406708229027487,219,2019-01-03,289,75.77854671280276,4.32781522769216,0.0040152812751267,-2.894800914503794,56.63187911071941
"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),spotify:track:22skzmqfdWrjJylampe0kt,0.633,0.927,2,-4.468,1,0.0839,0.0267,0.0,0.0986,0.88,146.097,audio_features,22skzmqfdWrjJylampe0kt,https://api.spotify.com/v1/tracks/22skzmqfdWrjJylampe0kt,https://api.spotify.com/v1/audio-analysis/22skzmqfdWrjJylampe0kt,258432,4,0.0161098065806026,0.0372076952699561,204,2019-01-03,289,70.58823529411765,4.256863491719876,0.00378443109861,-2.983796265891543,54.00730064545239
Follow The Flow,Maradok távol,spotify:track:14b5S9m1tvXKEiSWAdw62r,0.653,0.823,11,-4.912,0,0.0482,0.103,1.91e-06,0.212,0.519,108.943,audio_features,14b5S9m1tvXKEiSWAdw62r,https://api.spotify.com/v1/tracks/14b5S9m1tvXKEiSWAdw62r,https://api.spotify.com/v1/audio-analysis/14b5S9m1tvXKEiSWAdw62r,180048,4,0.0196530948970111,0.0453494386075856,203,2019-05-30,268,75.74626865671642,4.327389184519022,0.0045415593696353,-2.78591407049376,59.8430812857014
The Neighbourhood,Sweater Weather,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,audio_features,2QjOHCTQ1Jl3zawyYOpxh6,https://api.spotify.com/v1/tracks/2QjOHCTQ1Jl3zawyYOpxh6,https://api.spotify.com/v1/audio-analysis/2QjOHCTQ1Jl3zawyYOpxh6,240400,4,0.0206211265922363,0.0474049403055965,199,2019-01-03,289,68.85813148788927,4.232048322600152,0.0048726113267928,-2.741585418746865,61.1503858016678
Punnany Massif,Élvezd,spotify:track:15Zz41Ec3C6Rh6nDZa8331,0.517,0.757,0,-6.796,1,0.348,0.597,0.0,0.527,0.829,88.619,audio_features,15Zz41Ec3C6Rh6nDZa8331,https://api.spotify.com/v1/tracks/15Zz41Ec3C6Rh6nDZa8331,https://api.spotify.com/v1/audio-analysis/15Zz41Ec3C6Rh6nDZa8331,237013,4,0.0175905566103543,0.0401645395220013,192,2019-01-03,289,66.43598615916954,4.196238869903441,0.004191981714034,-2.90732736297142,56.26245928842819
Tankcsapda,Mennyország Tourist,spotify:track:1B05KTWr9SkdVukhRcPJ8v,0.579,0.899,0,-3.77,1,0.0579,0.02,0.0,0.113,0.721,114.342,audio_features,1B05KTWr9SkdVukhRcPJ8v,https://api.spotify.com/v1/tracks/1B05KTWr9SkdVukhRcPJ8v,https://api.spotify.com/v1/audio-analysis/1B05KTWr9SkdVukhRcPJ8v,230933,4,0.0150157210253618,0.0338645427728002,180,2019-01-03,289,62.28373702422145,4.13170034876587,0.0036342715487213,-3.077943336765088,51.23079186235782
Tom Odell,Another Love,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,0.442,0.538,4,-8.55,0,0.0451,0.717,2.95e-05,0.09,0.139,122.758,audio_features,7jtQIBanIiJOMS6RyCx6jZ,https://api.spotify.com/v1/tracks/7jtQIBanIiJOMS6RyCx6jZ,https://api.spotify.com/v1/audio-analysis/7jtQIBanIiJOMS6RyCx6jZ,244360,4,0.0224846652136955,0.0505999403421194,178,2019-01-03,289,61.5916955017301,4.1205270481677445,0.0054567449626847,-2.676361470589998,63.07391739160848
Dzsúdló,Spanom,spotify:track:2iikrNErUXVZ9dgWzNHGsQ,0.676,0.65,8,-5.507,1,0.051,0.404,0.0,0.157,0.443,88.076,audio_features,2iikrNErUXVZ9dgWzNHGsQ,https://api.spotify.com/v1/tracks/2iikrNErUXVZ9dgWzNHGsQ,https://api.spotify.com/v1/audio-analysis/2iikrNErUXVZ9dgWzNHGsQ,211023,4,0.0201856417874721,0.045376783102593,177,2020-04-09,223,79.37219730941703,4.374148147101802,0.0046147595162835,-2.7853112790334738,59.860858320805406
Follow The Flow,Tavasz,spotify:track:5PHgY9VKDWLk5YNA1bKw9f,0.686,0.665,0,-6.684,1,0.2,0.0338,1.38e-05,0.0704,0.228,87.032,audio_features,5PHgY9VKDWLk5YNA1bKw9f,https://api.spotify.com/v1/tracks/5PHgY9VKDWLk5YNA1bKw9f,https://api.spotify.com/v1/audio-analysis/5PHgY9VKDWLk5YNA1bKw9f,196417,4,0.0240496558705675,0.0534555662289415,167,2020-05-14,218,76.60550458715596,4.3386689356157575,0.0055430954118545,-2.6214610968356427,64.69299452815459
Krúbi,Nehézlábérzés,spotify:track:2wOfDoTh9AQxQBNMm0QGuo,0.943,0.563,6,-7.058,0,0.139,0.0935,1.31e-06,0.0745,0.793,100.006,audio_features,2wOfDoTh9AQxQBNMm0QGuo,https://api.spotify.com/v1/tracks/2wOfDoTh9AQxQBNMm0QGuo,https://api.spotify.com/v1/audio-analysis/2wOfDoTh9AQxQBNMm0QGuo,291440,4,0.015385691666101,0.0340360363889299,163,2019-01-03,289,56.40138408304498,4.032493698682422,0.0038154285699511,-3.072892010755862,51.37976145748975
"Azahriah, DESH",Mind1,spotify:track:0urTgP4nVlcZuiMVAUepCQ,0.741,0.658,2,-8.631,1,0.0717,0.548,0.0,0.119,0.467,103.942,audio_features,0urTgP4nVlcZuiMVAUepCQ,https://api.spotify.com/v1/tracks/0urTgP4nVlcZuiMVAUepCQ,https://api.spotify.com/v1/audio-analysis/0urTgP4nVlcZuiMVAUepCQ,191538,4,0.0562365295511973,0.1244057535878555,163,2021-06-03,163,100.0,4.605170185988092,0.012211607232737,-1.776763437931443,89.60413034200359
Glass Animals,Heat Waves,spotify:track:02MWAaffLxlfxAUY7c5dvx,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,02MWAaffLxlfxAUY7c5dvx,https://api.spotify.com/v1/tracks/02MWAaffLxlfxAUY7c5dvx,https://api.spotify.com/v1/audio-analysis/02MWAaffLxlfxAUY7c5dvx,238805,4,0.0351199812341242,0.0775981258472529,162,2020-08-06,206,78.64077669902912,4.364890352430894,0.0080460168293953,-2.2487685924286303,75.68413851466771
"Eminem, Nate Dogg",Till I Collapse,spotify:track:4xkOaSrkexMciUUogZKVTS,0.548,0.847,1,-3.237,1,0.186,0.0622,0.0,0.0816,0.1,171.447,audio_features,4xkOaSrkexMciUUogZKVTS,https://api.spotify.com/v1/tracks/4xkOaSrkexMciUUogZKVTS,https://api.spotify.com/v1/audio-analysis/4xkOaSrkexMciUUogZKVTS,297787,4,0.0135947790804007,0.0300378684975355,162,2019-01-03,289,56.05536332179931,4.026339833108043,0.0033764609158453,-3.197852998969599,47.69451370521885
Bruno X Spacc,Budán Vagy Pesten,spotify:track:0vrf1NID7s25S8ISHVZlQM,0.958,0.685,10,-6.032,0,0.161,0.24,0.0,0.13,0.773,103.987,audio_features,0vrf1NID7s25S8ISHVZlQM,https://api.spotify.com/v1/tracks/0vrf1NID7s25S8ISHVZlQM,https://api.spotify.com/v1/audio-analysis/0vrf1NID7s25S8ISHVZlQM,136743,4,0.0219758797574946,0.0484969400974037,161,2020-06-25,212,75.94339622641509,4.329988276300542,0.0050752746555402,-2.718811162695275,61.82202562401146
"VALMAR, Manuel",Éget a nap,spotify:track:63p0noYOc50p5KRUfJyukt,0.822,0.782,9,-4.836,0,0.119,0.278,0.0,0.0594,0.904,115.082,audio_features,63p0noYOc50p5KRUfJyukt,https://api.spotify.com/v1/tracks/63p0noYOc50p5KRUfJyukt,https://api.spotify.com/v1/audio-analysis/63p0noYOc50p5KRUfJyukt,150277,4,0.0365000622879716,0.0805492819338701,161,2021-06-03,163,98.77300613496932,4.592824350165792,0.0079471931659337,-2.2114426728291434,76.784924154024
Lewis Capaldi,Someone You Loved,spotify:track:2TIlqbIneP0ZY1O0EzYLlc,0.501,0.405,1,-5.679,1,0.032,0.751,0.0,0.105,0.447,109.889,audio_features,2TIlqbIneP0ZY1O0EzYLlc,https://api.spotify.com/v1/tracks/2TIlqbIneP0ZY1O0EzYLlc,https://api.spotify.com/v1/audio-analysis/2TIlqbIneP0ZY1O0EzYLlc,182161,4,0.0274015440911798,0.060171041145298,157,2019-01-03,289,54.32525951557093,3.994989303223967,0.0068589780876426,-2.50312067539532,68.18299391396128
ByeAlex és a Slepp,Emlékszem (Vagy...),spotify:track:2kk7bHozcPeRC9WYfLDftA,0.875,0.72,11,-6.066,1,0.0806,0.578,2.12e-05,0.102,0.739,105.99,audio_features,2kk7bHozcPeRC9WYfLDftA,https://api.spotify.com/v1/tracks/2kk7bHozcPeRC9WYfLDftA,https://api.spotify.com/v1/audio-analysis/2kk7bHozcPeRC9WYfLDftA,163302,4,0.0219462067917176,0.0481307659554896,156,2020-08-06,206,75.72815533980582,4.327150024448048,0.0050717462227385,-2.7263902703800467,61.598508749194906
Follow The Flow,Nem tudja senki,spotify:track:1YO5hgAhxTRErZKKWyrMnu,0.605,0.664,1,-6.114,1,0.104,0.414,0.0,0.168,0.271,84.871,audio_features,1YO5hgAhxTRErZKKWyrMnu,https://api.spotify.com/v1/tracks/1YO5hgAhxTRErZKKWyrMnu,https://api.spotify.com/v1/audio-analysis/1YO5hgAhxTRErZKKWyrMnu,217803,4,0.0237374799861185,0.0519262293300751,154,2019-05-30,268,57.46268656716418,4.051135807890864,0.0058594629041767,-2.6504878232815243,63.83696193814737
"Billie Eilish, Khalid",lovely (with Khalid),spotify:track:0u2P5u6lvoDfwTYjAADbn4,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,audio_features,0u2P5u6lvoDfwTYjAADbn4,https://api.spotify.com/v1/tracks/0u2P5u6lvoDfwTYjAADbn4,https://api.spotify.com/v1/audio-analysis/0u2P5u6lvoDfwTYjAADbn4,200186,4,0.0181980970968676,0.0396532340586773,151,2019-01-03,289,52.24913494809689,3.956023334690584,0.0046000985224954,-2.9201393579565225,55.88461836066442
Bruno X Spacc,Keverem,spotify:track:25Nui3DjJsjjr0aMFfO4S8,0.762,0.855,9,-4.025,0,0.0761,0.304,1.19e-06,0.068,0.778,150.048,audio_features,25Nui3DjJsjjr0aMFfO4S8,https://api.spotify.com/v1/tracks/25Nui3DjJsjjr0aMFfO4S8,https://api.spotify.com/v1/audio-analysis/25Nui3DjJsjjr0aMFfO4S8,154389,4,0.0194949065500701,0.0423660632185928,149,2020-10-01,198,75.25252525252525,4.320849461239015,0.0045118226693507,-2.8539642219109487,57.83620160959845
