rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:6Rc6C6S4lgT5j1OekgI155","Azahriah, DESH","Pullup","Supermanagement",1,1,6,"315753"
2,"spotify:track:7i2VQnO1s9hlLZyDBkMBsE","T. Danny, Manuel","Yoga","T. Danny",2,17,2,"241211"
3,"spotify:track:7cU3vDXfkH4bAemYBxuoJT","Azahriah, DESH","Miafasz","Supermanagement",2,2,6,"224653"
4,"spotify:track:0qYWBLuP1HyzJv8WNsochH","Azahriah","Okari","Supermanagement",1,3,6,"197027"
5,"spotify:track:2ECeeSi1ImwowkGOdAVI6w","VALMAR, Szikora Róbert","Úristen","VLMR MUSIC",1,4,13,"191794"
6,"spotify:track:1b0xEPOnt9B9EmFUUDsmPj","Manuel","Balenciaga","Gold Record Music Kft.",4,5,4,"161055"
7,"spotify:track:63p0noYOc50p5KRUfJyukt","VALMAR, Manuel","Éget a nap","VLMR MUSIC",5,10,57,"152945"
8,"spotify:track:2YmkWevzHTiEyvgjdTKB3r","Bruno X Spacc","Aha-Aha","Bruno X Spacc",3,8,7,"151566"
9,"spotify:track:6ofxXXTKk1UyRj9YkkWh3u","BSW, Tankcsapda","BAZ+ - Túl vagyok rajtad","BSW",1,6,5,"150126"
10,"spotify:track:0faYxc8g09uniud0ToGDRb","ByeAlex és a Slepp, T. Danny","voltmárkicsi","Gold Record Music Kft.",5,7,4,"142525"
11,"spotify:track:6YW9qgEJrkr3eGXYcZ8uXC","Manuel, Mxrci","Terapeuta","Gold Record Music Kft.",7,9,4,"133345"
12,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God)","Fish People",6,11,5,"129793"
13,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,13,13,"126063"
14,"spotify:track:1K17dNOOtcoC1gLcAbccPp","Azahriah, DESH","Tisztán iszom","Supermanagement",4,12,6,"124348"
15,"spotify:track:7lemjnVRAqQtqqLdSqCKqM","Azahriah, DESH","Mind1","Supermanagement",1,15,57,"119511"
16,"spotify:track:38U5WKJpBQncqAss18dLrO","Azahriah, DESH","Habibi","Supermanagement",7,14,6,"119497"
17,"spotify:track:3q8b8Rn1UB0bG9QG2yBgIQ","ekhoe","Costa Rica","IBBI ACADEMY",17,22,19,"114388"
18,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",2,18,78,"110597"
19,"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",3,19,47,"102852"
20,"spotify:track:1iRwcHRaEGQdkZDyVsQM1h","Manuel, Marics Peti","Fiatal és őrült","Gold Record Music Kft.",10,16,4,"101720"
21,"spotify:track:18asYwWugKjjsihZ0YvRxO","Tiësto, Ava Max","The Motto","Atlantic Records",6,24,34,"96241"
22,"spotify:track:4zN21mbAuaD0WqtmaTZZeP","James Hype, Miggy Dela Rosa","Ferrari","Universal-Island Records Ltd.",22,31,8,"95381"
23,"spotify:track:2B4GHvToeLTOBB4QLzW3Ni","Farruko","Pepas","Sony Music Latin",4,25,46,"95049"
24,"spotify:track:2UB8LkhAtBgL9cCxKY2qwi","Carson Coma","Immunissá válunk","Gold Record Music Kft.",6,23,17,"94062"
25,"spotify:track:0cUfErGDquYKSOJ6q15Vul","BSW","Mióta elhagytál - Nem vagyok álmos","BSW",1,26,28,"92102"
26,"spotify:track:3Mls3f2j9xGRqRRsoKA0Ef","Azahriah, DESH","Felednéd","Supermanagement",6,20,6,"91620"
27,"spotify:track:6xGruZOHLs39ZbVccQTuPZ","Joji","Glimpse of Us","88rising Music/Warner Records",21,21,3,"87522"
28,"spotify:track:5WthbIy7Qp7HmGYGRCZ43z","Manuel","Zombi","Gold Record Music Kft.",1,30,21,"82469"
29,"spotify:track:1HhNoOuqm1a5MXYEgAFl8o","Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends","Kid Ina Korner / Interscope",1,34,35,"80492"
30,"spotify:track:4YU0ptDWe7qvqFjNKNPUjG","Azahriah, DESH","tevagyazalány","Supermanagement",13,29,13,"78525"
31,"spotify:track:4QVAQwgq6JB7DNk1MG8EAG","Azahriah, DESH","Drogba","Supermanagement",11,27,6,"78443"
32,"spotify:track:0D6Aewbxit6kZYncgVohxU","DESH","Kukásautó","Supermanagement",1,32,24,"78372"
33,"spotify:track:45NZ6MHZFLsFEhA0quWeEn","VALMAR, Pixa, Fluor","Partyarc","Pixa Music",33,35,2,"78023"
34,"spotify:track:7k50YH3s8FqrBMRPm6DtJN","Azahriah, DESH, Young Fly","Lóerő","Supermanagement",12,28,6,"77669"
35,"spotify:track:3sUOONjFxjepoSXvKYrz5E","Dzsúdló, Lil Frakk","Lej","Supermanagement",10,38,133,"75295"
36,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",8,33,31,"74557"
37,"spotify:track:1dgiE7iJxB1KibWdlURUfz","T. Danny","WOAH","T. Danny",3,36,10,"73158"
