artist_names,track_name,danceability,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,popularity
Bagossy Brothers Company,Olyan Ő,0.775,-6.043,1,0.0303,0.185,0.0,0.123,0.525,226500,76.22025660704284
Eminem,Without Me,0.908,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,290320,57.16372686528594
"Dzsúdló, Lil Frakk",Lej,0.79,-9.301,1,0.206,0.527,0.0,0.11,0.241,168800,76.39078127756999
Halott Pénz,Amikor Feladnád,0.737,-3.683,1,0.0772,0.0391,0.0,0.0908,0.407,198347,64.16902284172558
The Weeknd,Blinding Lights,0.512,-4.075,1,0.0645,0.00147,0.000209,0.0938,0.344,201573,80.73460067789534
Imagine Dragons,Believer,0.776,-4.374,0,0.128,0.0622,0.0,0.081,0.666,204347,56.63187911071941
"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),0.633,-4.468,1,0.0839,0.0267,0.0,0.0986,0.88,258432,54.00730064545239
Follow The Flow,Maradok távol,0.653,-4.912,0,0.0482,0.103,1.91e-06,0.212,0.519,180048,59.8430812857014
The Neighbourhood,Sweater Weather,0.612,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,240400,61.1503858016678
Punnany Massif,Élvezd,0.517,-6.796,1,0.348,0.597,0.0,0.527,0.829,237013,56.26245928842819
Tankcsapda,Mennyország Tourist,0.579,-3.77,1,0.0579,0.02,0.0,0.113,0.721,230933,51.23079186235782
Tom Odell,Another Love,0.442,-8.55,0,0.0451,0.717,2.95e-05,0.09,0.139,244360,63.07391739160848
Dzsúdló,Spanom,0.676,-5.507,1,0.051,0.404,0.0,0.157,0.443,211023,59.860858320805406
Follow The Flow,Tavasz,0.686,-6.684,1,0.2,0.0338,1.38e-05,0.0704,0.228,196417,64.69299452815459
Krúbi,Nehézlábérzés,0.943,-7.058,0,0.139,0.0935,1.31e-06,0.0745,0.793,291440,51.37976145748975
"Azahriah, DESH",Mind1,0.741,-8.631,1,0.0717,0.548,0.0,0.119,0.467,191538,89.60413034200359
Glass Animals,Heat Waves,0.761,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,238805,75.68413851466771
"Eminem, Nate Dogg",Till I Collapse,0.548,-3.237,1,0.186,0.0622,0.0,0.0816,0.1,297787,47.69451370521885
Bruno X Spacc,Budán Vagy Pesten,0.958,-6.032,0,0.161,0.24,0.0,0.13,0.773,136743,61.82202562401146
"VALMAR, Manuel",Éget a nap,0.822,-4.836,0,0.119,0.278,0.0,0.0594,0.904,150277,76.784924154024
Lewis Capaldi,Someone You Loved,0.501,-5.679,1,0.032,0.751,0.0,0.105,0.447,182161,68.18299391396128
ByeAlex és a Slepp,Emlékszem (Vagy...),0.875,-6.066,1,0.0806,0.578,2.12e-05,0.102,0.739,163302,61.598508749194906
Follow The Flow,Nem tudja senki,0.605,-6.114,1,0.104,0.414,0.0,0.168,0.271,217803,63.83696193814737
"Billie Eilish, Khalid",lovely (with Khalid),0.351,-10.109,0,0.0333,0.934,0.0,0.095,0.12,200186,55.88461836066442
Bruno X Spacc,Keverem,0.762,-4.025,0,0.0761,0.304,1.19e-06,0.068,0.778,154389,57.83620160959845
T. Danny,Megmondtam,0.897,-4.774,1,0.0879,0.0506,0.00262,0.129,0.39,196286,63.21799689151565
Harry Styles,Watermelon Sugar,0.548,-4.209,1,0.0465,0.122,0.0,0.335,0.557,174000,68.40118996139864
"Lost Frequencies, Calum Scott",Where Are You Now,0.671,-8.117,0,0.103,0.515,0.000411,0.172,0.262,148197,72.70101401552775
"Majka, Curtis, Király Viktor",Füttyös,0.433,-4.761,1,0.275,0.481,0.0,0.4,0.737,212000,58.55995444179115
"DR BRS, Fekete Vonat, Halott Pénz",Hol van az a lány,0.678,-4.994,1,0.228,0.263,0.0,0.104,0.778,219600,52.65260948317399
