url,streams
spotify:track:6MWtB6iiXyIwun0YzU6DFP,"[71251, 68430, 69934, 72674, 71345, 79326, 70072, 66522, 61498, 57784, 55759, 49999, 54350, 48916, 45276, 45959, 37291, 34487, 32196, 31103, 30906, 30341, 30769, 31593, 32549, 30683, 28203, 27739, 24574, 23264, 22924, 23711, 35080, 29481, 25157, 24676]"
spotify:track:0E9ZjEAyAwOXZ7wJC0PD33,"[58877, 51708, 53367, 50914, 50058, 45934, 44200, 43319, 42212, 41217, 40382, 37857, 39105, 37426, 35614, 37145, 34495, 32652, 31991, 31995, 33775, 33119, 34167, 34423, 35097, 36020, 36083, 35762, 35327, 35576, 33045, 34093, 33356, 33101, 31297, 30770, 27879, 26162, 26383, 27438, 24404, 24633, 24614, 25251, 20858, 21684, 21541, 21938, 21747, 24556, 23629, 26813, 21252, 22340, 21286, 21319, 21707, 21102, 21556, 20855, 20957, 20109, 20071, 19065, 18758, 19834, 19266, 19754, 19773, 19178, 20375, 19854, 19676, 19888, 22373, 22858, 23751, 25408, 24888, 23936, 23403, 24110, 23579, 23786, 23098, 22373, 20903, 20289, 19864, 18836, 17844, 17906, 17392, 17643]"
spotify:track:5p7ujcrUXASCNwRaWNHR1C,"[51663, 59635, 65640, 65931, 64328, 60088, 55611, 51100, 49054, 44885, 40907, 40496, 36522, 33237, 31114, 30771, 28352, 27633, 28891, 27375, 25694, 24205, 22913, 21354, 20418, 19315, 18686, 18234, 17432, 17469, 16567, 16590, 16961, 16428, 15433, 16177, 17604, 18201, 18476, 18744, 18712, 18582, 18191, 18918, 17479, 18435, 18023, 18602, 20633, 27782, 23489, 20082, 20563, 21416]"
spotify:track:2rPE9A1vEgShuZxxzR2tZH,"[48710, 48975, 47148, 49082, 42489, 40079]"
spotify:track:3KkXRkHbMCARz0aVfEt68P,"[48618, 52687, 55298, 54513, 51035, 46948, 42633, 37904, 39240, 38178, 40281, 37442, 36548, 38128, 37137, 35746, 35501, 33774, 32060, 31886, 33252, 32414, 32949, 31746, 31861, 34054, 32537, 32966, 31699, 32866, 44231, 36140, 33056, 31483]"
spotify:track:4w8niZpiMy6qz1mntFA5uM,"[46635, 42681, 44028, 43798, 41783, 39708, 37617, 38871, 38326, 36518, 34957, 32591, 34321, 31558, 29126, 28840, 25471, 22255, 19723, 20196, 19825, 19876, 20118, 20966, 20523, 20432, 20801, 20351, 19672]"
spotify:track:25sgk305KZfyuqVBQIahim,"[44973, 58200, 65805, 66680, 74795, 80993, 83244, 84602, 85034, 85441, 79948, 76152, 77711, 74018, 71015, 69174, 63623, 60156, 58069, 56261, 54734, 53922, 52390, 51400, 48978, 45292, 43731, 41599, 39463, 39605, 37943, 38144, 37025, 36162, 33469, 36958, 37001, 39504, 38128, 37935, 37350, 36815, 36898, 37115, 33290, 34746, 34684, 33810, 33584, 46572, 41391, 33281, 38896, 38404, 38142, 33805, 32325, 31635, 30345, 30657, 30478, 29780, 28343, 27695, 25764, 25266, 28155, 26624, 26730, 27088, 26132, 28331, 28000, 28956, 28103, 27652, 27764, 28194, 28461, 27601, 28284, 28471, 27720, 28821, 28321, 27909, 26139, 26604, 27679, 27121]"
spotify:track:2VxeLyX666F8uXCJ0dZF8B,"[42514, 50189, 53369, 57794, 79861, 89310, 78832, 73945, 103232, 110408, 82316, 72023, 69350, 63545, 58227, 56414, 50548, 47317, 45654, 43956, 43192, 42233, 41139, 38453, 37906, 36008, 33412, 34280, 34096, 32700, 31876, 32343, 31835, 30499, 28661, 27992, 28584, 35871, 37646, 35892, 35577, 35212, 34963, 31370, 28653, 32055, 30802, 28063, 29151, 43149, 34415, 28030, 30992, 38378, 37579, 32413, 30620, 29859, 30082, 33487, 39698, 38577, 33507, 25618, 23807, 23793, 23464, 21392, 22764, 23058, 22121, 22573, 22826, 23967, 24101, 24224, 23514, 24092, 24242, 24545, 23839, 23625, 22942, 22532, 22724, 22838, 22350, 22421, 23107, 23311, 23068, 24040, 23537, 24596, 24170, 23775, 24108, 23175, 22312, 22483, 22366, 23369, 23044, 19748, 20220, 21198, 21328, 21903, 21531, 21101, 23253, 22985, 22759, 22153, 20965, 20674, 21435, 19573, 20793, 21768, 21043, 21436, 20749, 21538, 21607, 20959, 21530, 22041, 29262, 24097, 24274, 22701]"
spotify:track:27rdGxbavYJeBphck5MZAF,"[40900, 44910, 45034, 48618, 52364, 62547, 47919, 42098, 33642, 29837, 25789, 22643, 23124, 21197, 20691, 20296, 17518, 16798, 15779, 16591, 15566, 15853, 16760, 16951, 17313]"
spotify:track:0XlgY6Jrh51dY2Bfepj9hK,"[38828, 40230, 42036, 43106, 43527, 42468, 41793, 42494, 41207, 51593, 54161, 49039, 48979, 46825, 45617, 46259, 44384, 44447, 42189, 41910, 42782]"
