name,url
Wow.,"['spotify:track:6MWtB6iiXyIwun0YzU6DFP', 'spotify:track:2ve5NyzWHUbIYxL33goCX7', 'spotify:track:7xQAfvXzm3AkraOtGPWIZg']"
In My Mind,['spotify:track:0E9ZjEAyAwOXZ7wJC0PD33']
Without Me,"['spotify:track:5p7ujcrUXASCNwRaWNHR1C', 'spotify:track:7lQ8MOhq6IN2w8EYcFNSUk', 'spotify:track:6FZDfxM3a3UCqtzo5pxSLZ']"
"thank u, next","['spotify:track:2rPE9A1vEgShuZxxzR2tZH', 'spotify:track:3e9HZxeyfWwjeyPAMmWSSQ']"
Sunflower - Spider-Man: Into the Spider-Verse,"['spotify:track:3KkXRkHbMCARz0aVfEt68P', 'spotify:track:7dbka99KTWke5o9hRp0JoB', 'spotify:track:4VqTRBvYg0z8C4nsl4Hupy', 'spotify:track:0RiRZpuVRbi7oqRdSMwhQY']"
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",['spotify:track:4w8niZpiMy6qz1mntFA5uM']
Sweet but Psycho,"['spotify:track:25sgk305KZfyuqVBQIahim', 'spotify:track:3tNE4i6TBqMdyTZxHDAn9B', 'spotify:track:7DnAm9FOTWE3cUvso43HhI']"
Shallow,['spotify:track:2VxeLyX666F8uXCJ0dZF8B']
Nothing Breaks Like a Heart (feat. Miley Cyrus),"['spotify:track:27rdGxbavYJeBphck5MZAF', 'spotify:track:02dRkCEc8Q5ch4TTcnLxOn']"
Nem Tudja Senki,['spotify:track:0XlgY6Jrh51dY2Bfepj9hK']
High Hopes,['spotify:track:1rqqCSm0Qe4I9rUvWncaom']
Solo (feat. Demi Lovato),['spotify:track:3NuK5xMlSlB6K2Qp16zf3h']
Happier,['spotify:track:2dpaYNEQHiRxtZbfNsse99']
Close To Me (with Diplo) (feat. Swae Lee),['spotify:track:5JEx7HbmvHQQswJCsoo9rA']
Meztelen,"['spotify:track:2dsbdPTyFRLJzJsgv8RISq', 'spotify:track:1KiktGkAMBWKxrKl99H3Li']"
Bohemian Rhapsody - Remastered 2011,"['spotify:track:7tFiyTwD0nx5a1eklYtX2J', 'spotify:track:4u7EnebtmKWzUH433cf5Qv']"
Maradok Távol,['spotify:track:6rp8bq0lhkIosumUPlTFfB']
Posztolj,['spotify:track:5LRnTgBR4JTYvzv0oum9yB']
Rise,"['spotify:track:3KLygy1YWhmrQx0GRs7IOx', 'spotify:track:5ZSl6gDoV6bPPxzmLeneV9', 'spotify:track:7HXBG0W8gFJwHUh5mVF9tf']"
Anyám Mondta,['spotify:track:2G4Ke0bTohNdJk0RhpPX7h']
Better Now,['spotify:track:7dt6x5M1jzdTEt8oCbisTK']
Megöl,['spotify:track:4VHWDEnJOWXHqgBhQcgcPW']
rockstar (feat. 21 Savage),['spotify:track:0e7ipj03S05BNilyu5bRzt']
ZEZE (feat. Travis Scott & Offset),['spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z']
Youngblood,['spotify:track:2iUXsYOEPhVqEBwsqP70rE']
Natural,['spotify:track:2FY7b99s15jUprqC0M5NCT']
Füttyös,['spotify:track:6bsERSsjVL4Cpt0e2t77Vx']
Going Bad (feat. Drake),['spotify:track:2IRZnDFmlqMuOrYOLnZZyc']
Promises (with Sam Smith),['spotify:track:5N5k9nd479b1xpDZ4usjrg']
Say My Name,['spotify:track:0YammaEkYSeo9vQYZ1OwS6']
Girls Like You (feat. Cardi B) - Cardi B Version,['spotify:track:7fa9MBXhVfQ8P8Df9OEbD8']
Eastside (with Halsey & Khalid),['spotify:track:7FGq80cy8juXBCD2nrqdWU']
One Kiss (with Dua Lipa),['spotify:track:7ef4DlsgrMEH11cDZd32M6']
SICKO MODE,['spotify:track:2xLMifQCjDGFmkHkpNLD9h']
when the party's over,"['spotify:track:14JzyD6FlBD5z0wV5P07YI', 'spotify:track:43zdsphuZLzwA9k4DJhU0I']"
Széééééétcsaptam,['spotify:track:5GsS4eWizjtrlqhEyg06LU']
Roxtármod,['spotify:track:2QQ5yNnAe7vl9WOOkRrtlL']
I Like It,['spotify:track:58q2HKrzhC3ozto2nDdN4z']
FRIENDS,['spotify:track:08bNPGLD8AhKpnnERrAc6G']
Blah Blah Blah,"['spotify:track:0tp6mwUt99QnfY95T30Lqj', 'spotify:track:65lC7Ey8QaVLvItAMF6Ap8']"
Arms Around You (feat. Maluma & Swae Lee),['spotify:track:2LskIZrCeLxRvCiGP8gxlh']
Another One Bites The Dust - Remastered 2011,['spotify:track:5vdp5UmvTsnMEMESIF2Ym7']
imagine,"['spotify:track:0todbbT9g5uQGbeFCiBf2F', 'spotify:track:39LmTF9RgyakzSYX8txrow']"
Happy Now,"['spotify:track:14sOS5L36385FJ3OL8hew4', 'spotify:track:4keoy2fqgwGnbWlm3ZVZFa']"
Believer,['spotify:track:0pqnGHJpmpxLKifKRmU6WP']
Bad Liar,['spotify:track:2RSHsoi04658QL5xgQVov3']
Let You Love Me,['spotify:track:5Fla3zyOCcIRqrDoKLU0DP']
Lucid Dreams,['spotify:track:285pBltuF7vW8TeWk8hdRR']
SAD!,['spotify:track:3ee8Jmje8o58CHK66QrVC2']
Jackie Chan,['spotify:track:4kWO6O1BUXcZmaxitpVUwp']
Nevermind,['spotify:track:63SevszngYpZOwf63o61K4']
Havana (feat. Young Thug),['spotify:track:1rfofaqEpACxVEHIZBJe6W']
Kiss and Make Up,['spotify:track:13hvHEstJ4sNbzdroPrPI3']
#tevagya,['spotify:track:6nhb4bgcD2vvj38ovoxXZ0']
More Than You Know,['spotify:track:6h5PAsRni4IRlxWr6uDPTP']
Body,"['spotify:track:7K7MUBCnzgBAvMVW2RTWNs', 'spotify:track:0A1hoCfMLkiAgvhWkkucJa', 'spotify:track:3CVb6hkMrlF7eHhXi5B3PZ']"
Don't Stop Me Now - Remastered 2011,['spotify:track:5T8EDUDqKcs6OSOwEsfqG7']
Shape of You,['spotify:track:7qiZfU4dY1lWllzX7mPBI3']
Saturday Nights,['spotify:track:5kfNriitmkNE8mUbZ7gbq8']
Be Alright,"['spotify:track:3EPXxR3ImUwfayaurPi3cm', 'spotify:track:2H4gf1wLxvYreMj1jcaN0k', 'spotify:track:5qrSlOut2rNAWv3ubArkNy']"
Pesetas,['spotify:track:0Ei1aBiIELwXmUcIZDETOi']
