music,streams,average,std_dev
Posztolj,"[33575, 28920, 25243, 22346, 18953, 19251, 17660, 16527, 14882, 13019, 12416]",20253.81818181818,6380.161081155208
ZEZE (feat. Travis Scott & Offset),"[30186, 31288, 32046, 31069, 28548, 24300, 22219, 21180, 19906, 18987, 18770, 16536, 14003, 12988]",23001.85714285714,6381.896201165369
Széééééétcsaptam,"[27354, 25495, 21389, 18869, 16100, 15424, 13598, 12572]",18850.125,5113.9232355770655
Roxtármod,"[26197, 27379, 23514, 21242, 19480, 15800, 14110, 13082, 12520]",19258.222222222223,5356.229245317554
Arms Around You (feat. Maluma & Swae Lee),"[25829, 28963, 27611, 23607, 17834, 14750, 13375, 12988, 12740]",19744.11111111111,6348.066134998988
imagine,"[25684, 24776, 18953, 15339, 12643, 36403, 20055, 14893]",21093.25,7225.3540527437135
#tevagya,"[22642, 20051, 18013, 16372, 14280, 17074, 15460, 12693]",17073.125,2975.8247780027305
Saturday Nights,"[22021, 25008, 30396, 31684, 31699, 29403, 22111, 12259, 13080]",24184.555555555555,7100.1677775342605
whoa (mind in awe),"[19828, 20896, 20223, 16832, 12792]",18114.2,3003.0787135871083
Inima Mea,"[19522, 18940, 16994, 15235, 13958]",16929.8,2119.8334274182957
Elysium,"[19294, 18602, 15638, 14216, 12982]",16146.4,2446.863265489104
monster,"[19232, 17458, 16467, 14613]",16942.5,1670.3458474220242
Cinema,"[17955, 17642, 14946, 13854, 60825, 29071]",25715.5,16462.181130801997
Roses (with Juice WRLD feat. Brendon Urie),"[17928, 23239, 26155, 24087, 23432, 21204, 14560, 13154, 12940, 18649]",19534.8,4566.904264378661
God's Plan,"[17546, 15451, 12501, 12719, 12945, 12765, 12616]",13791.857142857143,1805.4647544584848
Mo Bamba,"[17335, 18200, 19432, 18833, 18424, 16800, 15688, 14436, 14776, 13620, 13525]",16460.81818181818,2054.668025306005
Billie Jean,[17271],17271.0,0.0
Fogyaszd El,"[16836, 14742, 12658]",14745.333333333334,1705.6629861207114
Better,"[16752, 18238, 14988, 13626, 12669, 12679, 15658, 25047]",16207.125,3807.5703682762055
MIA,"[16020, 15699, 15767, 16102, 15865, 15724, 14916, 15148, 14079, 13839, 12518, 12309, 12695]",14667.76923076923,1361.8184197182911
Like I Do,"[15825, 14514, 14879, 14305, 12493, 12706, 12935, 12885, 12902]",13716.0,1118.6858361488269
Mi Gente,"[15192, 11355, 15775]",14107.333333333334,1960.6931314092872
"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse","[14975, 17319, 16270, 14742]",15826.5,1039.8847291887694
Pretty Girl - Cheat Codes X CADE Remix,"[14698, 12709, 12834, 12248, 12490, 16299, 15912, 16342, 16505, 17270, 16955, 16511, 17356, 16864]",15356.642857142857,1870.6900792084668
Sweet Dreams (Are Made of This) - Remastered,"[14528, 11530]",13029.0,1499.0
In My Feelings,"[14488, 12735, 11833]",13018.666666666666,1102.3025396364144
Lucky You (feat. Joyner Lucas),"[14469, 15135, 14306, 14087, 13589, 13216, 12932, 12451, 12563, 12573]",13532.1,885.7193065525895
I Love It (& Lil Pump),"[14453, 13780, 13814, 13307, 13092, 12496, 15059]",13714.42857142857,793.3255244570806
Rewrite The Stars (with James Arthur & Anne-Marie),"[14443, 16303, 16027, 15072, 13979, 14492]",15052.666666666666,851.6487277954188
All Falls Down (feat. Juliander),"[13505, 14276, 14778, 14447, 14526, 14760, 13705]",14285.285714285714,462.5827228833823
Diamond Heart,"[13445, 14514, 14571, 13555, 13185, 12865]",13689.166666666666,641.4869228770157
BAD!,"[13170, 11880]",12525.0,645.0
Leave Me Alone,"[13144, 14576, 14788, 14160, 14134, 14878]",14280.0,581.5920678046884
Ocean (feat. Khalid),"[12997, 13312, 13319, 13131, 12771, 12642, 12476, 12469, 12449]",12840.666666666666,338.05555099059615
Wake Up in the Sky,"[12974, 13898, 14351, 14760, 14564, 14522, 13510]",14082.714285714286,603.1665759699777
Psycho (feat. Ty Dolla $ign),"[12813, 12750, 12622, 12810, 19275, 13829]",14016.5,2385.36110124512
What Lovers Do (feat. SZA),"[12742, 12784, 12635, 12261, 12228]",12530.0,238.34848436690342
Love Someone,"[12607, 14488, 14312, 13519, 12621]",13509.4,800.6868551437573
Beautiful (feat. Camila Cabello),"[12484, 13966, 13946, 13827, 13778, 13667, 13886, 13531, 13652]",13637.444444444445,429.918884109061
Goodbye (feat. Nicki Minaj & Willy William),"[12437, 13218, 13908, 14778, 14104, 13579, 13425, 13289, 13739, 13907, 13430, 12123, 13010, 13045]",13428.0,650.7573609703873
Closer,"[12346, 11600, 12164, 12023]",12033.25,275.0994138488848
Trampoline,"[12271, 16217, 19532, 18473, 17492, 13239]",16204.0,2650.244391246463
Treat You Better,"[12236, 12830, 12890, 13369, 13161, 12958, 12603, 12836, 12358, 12599, 12727, 11921, 13248, 13123]",12775.642857142857,392.4928765764613
Drip Too Hard (Lil Baby & Gunna),"[12235, 13540, 14308, 13688, 13309]",13416.0,676.9392882674191
Don't Leave Me Alone (feat. Anne-Marie),"[12015, 13107, 13664, 14102, 13611, 12942, 12682, 12580]",13087.875,635.3549082009204
HUMBLE.,"[11963, 11944, 12352, 12300, 12558, 12368, 12378, 12262]",12265.625,197.57020113114226
Africa,"[11889, 11301, 11885, 12319, 12335, 13265, 13368, 13233]",12449.375,716.2897349362198
Take on Me,[11814],11814.0,0.0
Project Dreams,"[11810, 12972, 12456]",12412.666666666666,475.3730698678203
Silence,"[11809, 12792, 12871, 12580, 12554, 16503, 14556, 14529, 13021, 12424]",13363.9,1337.5975814870478
You Don't Know Me,[11778],11778.0,0.0
FEFE (feat. Nicki Minaj & Murda Beatz),"[11762, 15699, 19666, 17386, 16233]",16149.2,2582.8194981453894
Despacito - Remix,[11707],11707.0,0.0
a lot,"[11636, 12680, 12800, 12041, 16559, 31968, 38205, 32160, 25279, 21998, 18262, 14440, 12781]",20062.23076923077,8730.774096914944
"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""","[11633, 12758, 14657, 14816, 14815, 14187, 13881, 13673, 13568, 13359, 12677, 11928, 12363]",13408.846153846154,1031.832264704495
KIKA (feat. Tory Lanez),"[11552, 11450, 12096]",11699.333333333334,283.55990940579426
Symphony (feat. Zara Larsson),"[11467, 12445, 13117, 13119, 12829]",12595.4,615.9057070688661
Sexy Bitch (feat. Akon),[11453],11453.0,0.0
Faded,"[11342, 11663, 12162, 12273, 12380]",11964.0,396.2892882730998
Dusk Till Dawn (feat. Sia) - Radio Edit,"[11300, 12372, 12557, 12350, 12443, 12641, 12456]",12302.714285714286,419.9910591856907
God is a woman,"[11272, 13755]",12513.5,1241.5
Adan y Eva,"[11216, 12358, 13387, 14157, 13802, 13765]",13114.166666666666,1019.2695777968762
No Stylist (feat. Drake),"[11207, 12323, 13224, 12698, 13406, 13550, 13490, 12974]",12859.0,738.5477303465227
September,[11163],11163.0,0.0
So Close,"[11088, 13132, 14367, 15964, 16349, 18356, 18592, 16546, 12580, 12993]",14996.7,2416.2493683392863
Hol Vagy?,[11046],11046.0,0.0
Leave a Light On,"[10962, 12796, 13417, 12805, 12521, 12560, 12403, 12668, 12000]",12459.111111111111,638.0178409982739
Nonstop,[10918],10918.0,0.0
Lonely Together (feat. Rita Ora),"[10825, 11206, 11966]",11332.333333333334,474.29971771256857
Meant to Be (feat. Florida Georgia Line),"[10802, 12686, 12414, 12452]",12088.5,750.0284994585206
Praise The Lord (Da Shine) (feat. Skepta),"[10796, 17060]",13928.0,3132.0
Something Just Like This,"[10733, 12176, 12022, 12696, 11660, 13745, 77846, 60177, 44946]",28444.555555555555,24298.214575977527
Butterfly Doors,"[20959, 22111, 18416, 15205, 13181, 13022]",17149.0,3589.315672938227
"Fire On Fire - From ""Watership Down""","[17836, 20036, 17475, 16402, 15505]",17450.8,1530.9044908158053
medicine,"[17216, 12751]",14983.5,2232.5
Crushed Up,"[15879, 14796]",15337.5,541.5
Szerelem,[13640],13640.0,0.0
Lie To Me,[12473],12473.0,0.0
I'll Be There,"[11899, 12003, 14031, 13766, 12685, 12429, 12791, 14000, 13904, 13974, 12287, 12817]",13048.833333333334,796.032226455409
Anywhere,[11413],11413.0,0.0
YOSEMITE,"[11384, 12702, 12368]",12151.333333333334,559.4576739029404
Right Now,[11342],11342.0,0.0
Let You Down,[11303],11303.0,0.0
Shotgun,"[11248, 11837]",11542.5,294.5
Grip,[11135],11135.0,0.0
hope is a dangerous thing for a woman like me to have - but I have it,[19657],19657.0,0.0
WHEN I WAS OLDER - Music Inspired By The Film ROMA,"[16341, 13397]",14869.0,1472.0
ocean eyes,"[12509, 14989, 13477, 13631, 16027, 17224, 17248, 17268, 19363, 17972]",15970.8,2122.2900744243234
It Ain't Me (with Selena Gomez),[11642],11642.0,0.0
Keanu Reeves,"[22412, 19438, 19768, 18128, 13433]",18635.8,2949.9856542024063
Keresztes Hadjárat 2019,"[21549, 18069, 12193, 13358]",16292.25,3748.4641771664296
Lie To Me (feat. Julia Michaels),"[19165, 20024, 23220, 18760]",20292.25,1750.8684095328238
First Off (feat. Travis Scott),"[15332, 15979, 14462]",15257.666666666666,621.5391290086962
breathin,"[13195, 14468]",13831.5,636.5
Nights Like This (feat. Ty Dolla $ign),"[12231, 19592, 28972, 22269, 16772, 16436, 13965, 12600]",17854.625,5287.381250144063
Mint Egy Jel,"[12189, 12649]",12419.0,230.0
"Swan Song - From the Motion Picture ""Alita: Battle Angel""","[48113, 30351, 30921, 31629, 21712, 15193]",29653.166666666668,10156.461693862135
Anxiety (with Selena Gomez),"[20514, 16287, 14676, 13058]",16133.75,2774.6778529227495
Girls Have Fun (feat. G-Eazy & Rich The Kid),"[18577, 14203, 14375, 13735]",15222.5,1950.8307845633358
mother tongue,[13819],13819.0,0.0
Awaken,[13783],13783.0,0.0
in the dark,[13749],13749.0,0.0
Sauce!,[13554],13554.0,0.0
nihilist blues (feat. Grimes),[12987],12987.0,0.0
I'll Never Love Again - Film Version - Radio Edit,"[12849, 13002, 12742, 15081, 14583, 12510]",13461.166666666666,990.780065851594
sugar honey ice & tea,[12653],12653.0,0.0
MANTRA,[12553],12553.0,0.0
Racks on Racks,"[28904, 15844, 13871]",19539.666666666668,6670.394107963603
I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),"[22851, 18361, 16514, 14883, 16042, 15076, 13397, 14228]",16419.0,2814.894580619317
Turul,[17187],17187.0,0.0
CRY,[17151],17151.0,0.0
