music,streams
Wow.,"[71251, 68430, 69934, 72674, 71345, 79326, 70072, 66522, 61498, 57784, 55759, 49999, 54350, 48916, 45276, 45959, 37291, 34487, 32196, 31103, 30906, 30341, 30769, 31593, 32549, 30683, 28203, 27739, 24574, 23264, 22924, 23711, 35080, 29481, 25157, 24676, 46886, 40128, 33758, 29316, 24455, 23998, 22995, 22083, 18752, 19135, 18453, 18493, 20013, 29128, 27549, 23950, 24582, 24868, 25235, 22987, 23157, 21948, 20894, 20142, 19665, 20004, 23040, 21880, 20085, 18576, 18112, 17052, 17371, 17374, 16796, 17015, 16390, 16819, 16449, 17194, 16587, 16996, 17181, 17139, 16248]"
In My Mind,"[58877, 51708, 53367, 50914, 50058, 45934, 44200, 43319, 42212, 41217, 40382, 37857, 39105, 37426, 35614, 37145, 34495, 32652, 31991, 31995, 33775, 33119, 34167, 34423, 35097, 36020, 36083, 35762, 35327, 35576, 33045, 34093, 33356, 33101, 31297, 30770, 27879, 26162, 26383, 27438, 24404, 24633, 24614, 25251, 20858, 21684, 21541, 21938, 21747, 24556, 23629, 26813, 21252, 22340, 21286, 21319, 21707, 21102, 21556, 20855, 20957, 20109, 20071, 19065, 18758, 19834, 19266, 19754, 19773, 19178, 20375, 19854, 19676, 19888, 22373, 22858, 23751, 25408, 24888, 23936, 23403, 24110, 23579, 23786, 23098, 22373, 20903, 20289, 19864, 18836, 17844, 17906, 17392, 17643]"
Without Me,"[51663, 59635, 65640, 65931, 64328, 60088, 55611, 51100, 49054, 12409, 44885, 40907, 12410, 40496, 12465, 36522, 13755, 33237, 13554, 31114, 13157, 30771, 14022, 28352, 12199, 27633, 13038, 28891, 12841, 27375, 13021, 25694, 13188, 24205, 13009, 22913, 13489, 21354, 13419, 20418, 13273, 19315, 13230, 18686, 14054, 18234, 14540, 17432, 14796, 17469, 15020, 16567, 15078, 16590, 15312, 16961, 14880, 16428, 14915, 15433, 15102, 16177, 14755, 17604, 14626, 18201, 15018, 18476, 16100, 18744, 16249, 18712, 15464, 18582, 15553, 18191, 16117, 18918, 17790, 17479, 15116, 18435, 16575, 18023, 16744, 18602, 17177, 20633, 16762, 27782, 17913, 23489, 20082, 15589, 20563, 15510, 21416, 17043, 26834, 19284, 23121, 16962, 21900, 17623, 20726, 18978, 22035, 20059, 20178, 18929, 19749, 18968, 21099, 18689, 20496, 17956, 18331, 16949, 18062, 17808, 19221, 17869, 18212, 16405, 19717, 17703, 20077, 17185, 18506, 16644, 18424, 17978, 17953, 17892, 18912, 17745, 17704, 17147, 18151, 17020, 18589, 16875, 18821, 16894, 19060, 15942, 19646, 16089, 20164, 19078, 16167, 19320, 19321, 19173, 19362, 18510, 17734, 18288, 18181, 18124, 17404, 17726, 17333, 17982, 17475, 18519, 19249, 20049, 20123, 20804, 19886, 20521, 21576, 20086, 23066, 22878, 22349, 22466, 22269, 22821, 23529, 24469, 25015, 25068, 23509, 23890, 24007, 24495, 24413, 23985, 23611, 24752, 24917, 24168, 24562, 24807, 26757, 31059, 33126, 33822, 32053, 33067, 34625, 32582, 32904, 34460, 35186, 33504, 33412, 34016, 37340, 32022, 34378, 36707, 37754, 39133, 40143, 40920, 47036, 52439, 46869, 46147, 46894, 47339, 48120, 46713, 50208, 47534, 46521, 44382, 42559, 42740, 41348, 42150, 39647, 39959, 38728, 38531, 36623, 36053, 36819, 37721, 38465, 37658, 37789, 38317, 38135, 37360, 39005, 39057, 38535, 39715, 40871, 44862, 48090, 47659, 45912, 49179, 48436, 48660, 49388, 47091, 49259, 44055, 48295, 46392, 47698, 47646, 46830, 46149, 46531, 47221, 46236, 45903, 45103, 46223, 44808, 48698, 46778, 48709, 48288, 47418, 44228, 44615, 48224, 48576, 47544, 49766, 49121, 45513, 44838, 44245, 43546, 41727, 41639, 42531, 41754, 41229, 41711, 39718, 41846, 42442, 41890, 42110, 40571, 40990, 40962, 43218, 41195, 42164, 41115, 47487, 60646, 57738, 57825, 51701, 52784, 49425, 52295, 52252, 50468, 48535, 46600, 46164, 45268, 43875, 46529, 43795, 46900, 44669, 42700, 42126, 41787, 41744, 60586, 62290, 54600, 50636, 53415, 49862]"
"thank u, next","[48710, 48975, 47148, 49082, 42489, 40079, 59270, 45077, 39249, 35444, 31241, 29848, 29614, 25159, 22188, 21952, 19413, 18828, 18126, 18066, 16938, 16054, 15727, 15117, 15368, 14489, 13927, 13932, 14011, 13994, 18000, 15266]"
Sunflower - Spider-Man: Into the Spider-Verse,"[48618, 52687, 55298, 54513, 51035, 46948, 42633, 37904, 40635, 42029, 39240, 38178, 40281, 37442, 36548, 38128, 37137, 35746, 35501, 33774, 32060, 31886, 33252, 32414, 32949, 31746, 31861, 34054, 32537, 32966, 31699, 32866, 44231, 36140, 33056, 31483, 53277, 49929, 41315, 38237, 34848, 32958, 33454, 31746, 28690, 26921, 25337, 25298, 27960, 40516, 34836, 29751, 34446, 32032, 30165, 26890, 26645, 26939, 25931, 24412, 22597, 21537, 23113, 22990, 21838, 22585, 24022, 22275, 21493, 20863, 21802, 22484, 21961, 23267, 22614, 24161, 23057, 22812, 22491, 22049, 21129, 20777, 20594, 20280, 20815, 20613, 19904, 19480, 19541, 19483, 19216, 16930, 19827, 22013, 21130, 20928, 17146, 35672, 47427, 46632, 45986, 40968, 35508]"
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","[46635, 42681, 44028, 43798, 41783, 39708, 37617, 38871, 38326, 36518, 34957, 32591, 34321, 31558, 29126, 28840, 25471, 22255, 19723, 20196, 19825, 19876, 20118, 20966, 20523, 20432, 20801, 20351, 19672]"
Sweet but Psycho,"[44973, 58200, 65805, 66680, 74795, 80993, 83244, 84602, 85034, 85441, 79948, 76152, 77711, 74018, 71015, 69174, 63623, 60156, 58069, 56261, 54734, 53922, 52390, 51400, 48978, 45292, 43731, 41599, 39463, 39605, 37943, 38144, 37025, 36162, 33469, 36958, 37001, 39504, 38128, 37935, 37350, 36815, 36898, 37115, 33290, 34746, 34684, 33810, 33584, 46572, 41391, 33281, 38896, 38404, 38142, 33805, 32325, 31635, 30345, 30657, 30478, 29780, 28343, 27695, 25764, 25266, 28155, 26624, 26730, 27088, 26132, 28331, 28000, 28956, 28103, 27652, 27764, 28194, 28461, 27601, 28284, 28471, 27720, 28821, 28321, 27909, 26139, 26604, 27679, 27121, 27275, 26702, 25417, 24359, 25181, 25871, 25416, 22472, 21144, 20510, 21324, 21839, 21950, 20359, 21934, 21203, 21903, 22268, 21570, 20759, 21653, 21982, 22022, 21105, 21662, 21622, 20023, 21911, 21151, 21354, 20729, 20244, 19808, 20228]"
Shallow,"[42514, 50189, 53369, 57794, 79861, 89310, 78832, 73945, 103232, 110408, 82316, 72023, 69350, 63545, 58227, 56414, 50548, 47317, 45654, 43956, 43192, 42233, 41139, 38453, 37906, 36008, 33412, 34280, 34096, 32700, 31876, 32343, 31835, 30499, 28661, 27992, 28584, 35871, 37646, 35892, 35577, 35212, 34963, 31370, 28653, 32055, 30802, 28063, 29151, 43149, 34415, 28030, 30992, 38378, 37579, 32413, 30620, 29859, 30082, 33487, 39698, 38577, 33507, 25618, 23807, 23793, 23464, 21392, 22764, 23058, 22121, 22573, 22826, 23967, 24101, 24224, 23514, 24092, 24242, 24545, 23839, 23625, 22942, 22532, 22724, 22838, 22350, 22421, 23107, 23311, 23068, 24040, 23537, 24596, 24170, 23775, 24108, 23175, 22312, 22483, 22366, 23369, 23044, 19748, 20220, 21198, 21328, 21903, 21531, 21101, 23253, 22985, 22759, 22153, 20965, 20674, 21435, 19573, 20793, 21768, 21043, 21436, 20749, 21538, 21607, 20959, 21530, 22041, 29262, 24097, 24274, 22701]"
Nothing Breaks Like a Heart (feat. Miley Cyrus),"[40900, 44910, 45034, 48618, 52364, 62547, 47919, 42098, 33642, 29837, 25789, 22643, 23124, 21197, 20691, 20296, 17518, 16798, 15779, 16591, 15566, 15853, 16760, 16951, 17313, 17531, 16828, 16991, 15958, 15190, 14589, 14797, 14899, 13853, 14270, 14489, 14450, 15002, 14232, 13966, 14145, 20570, 22401, 18185, 16932, 30165]"
Nem Tudja Senki,"[38828, 40230, 42036, 43106, 43527, 42468, 41793, 42494, 41207, 51593, 54161, 49039, 48979, 46825, 45617, 46259, 44384, 44447, 42189, 41910, 42782]"
